0|iata_code|1|name_eng|2|city_rus|3|country_rus
AMZ|AMZ|Ardmore|Ardmore|Ардмор|Ардмор|Новая Зеландия|Новая Зеландия
ANA|ANA|Orange County Steel Salvage Heliport|Orange County Steel Salvage Heliport|Анахайм|Анахайм|США|США
ANB|ANB|Anniston Metropolitan|Anniston Metropolitan|||США|США
ANC|ANC|Ted Stevens Anchorage International Airport|Ted Stevens Anchorage International Airport|Анкораж|Анкораж|США|США
AND|AND|Anderson|Anderson|||США|США
ANE|ANE|Marce|Marce|Анжер|Анжер|Франция|Франция
ANF|ANF|Cerro Moreno|Cerro Moreno|Антофагаста|Антофагаста|Чили|Чили
ANG|ANG|Brie-Champniers|Brie-Champniers|Ангулем|Ангулем|Франция|Франция
ANH|ANH|Anuha Island Resort|Anuha Island Resort|||Соломоновы острова|Соломоновы острова
ANI|ANI|Aniak|Aniak|||США|США
ANJ|ANJ|Zanaga|Zanaga|Занага|Занага|Конго|Конго
ANK|ANK|Etimesgut|Etimesgut|Анкара|Анкара|Турция|Турция
ANL|ANL|Andulo|Andulo|Андуло|Андуло|Ангола|Ангола
ANM|ANM|Antsirabato|Antsirabato|Анталаха|Анталаха|Мадагаскар|Мадагаскар
ANN|ANN|Annette Island|Annette Island|||США|США
ANO|ANO|Angoche|Angoche|||Мозамбик|Мозамбик
ANP|ANP|Lee|Lee|Аннаполис|Аннаполис|США|США
ANQ|ANQ|Tri-State Steuben Cty|Tri-State Steuben Cty|Ангола|Ангола|США|США
ANR|ANR|Deurne|Deurne|Антверпен|Антверпен|Бельгия|Бельгия
ANS|ANS|Andahuaylas|Andahuaylas|Андауайлас|Андауайлас|Перу|Перу
ANT|ANT|St Anton|St Anton|||Австрия|Австрия
ANU|ANU|V. C. Bird Intl|V. C. Bird Intl|||Антигуа и Барбуда|Антигуа и Барбуда
ANV|ANV|Anvik|Anvik|||США|США
ANW|ANW|Ainsworth|Ainsworth|||США|США
ANX|ANX|Andenes|Andenes|Анденес|Анденес|Норвегия|Норвегия
ANY|ANY|Anthony|Anthony|||США|США
ANZ|ANZ|Angus Downs|Angus Downs|||Австралия|Австралия
AOA|AOA|Aroa|Aroa|Ароа|Ароа|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AOB|AOB|Annanberg|Annanberg|Аннаберг|Аннаберг|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AOC|AOC|Altenburg Nobitz|Altenburg Nobitz|Альтенбург|Альтенбург|Германия|Германия
AOD|AOD|Abou Deia|Abou Deia|Абу-Дейя|Абу-Дейя|Чад|Чад
AOE|AOE|Anadolu University|Anadolu University|Эскишехир|Эскишехир|Турция|Турция
AOG|AOG|Anshan|Anshan|Аньшань|Аньшань|Китай|Китай
AOH|AOH|Allen County|Allen County|Лима|Лима|США|США
AOI|AOI|Falconara|Falconara|Анкона|Анкона|Италия|Италия
AOJ|AOJ|Aomori|Aomori|Аомори|Аомори|Япония|Япония
AOK|AOK|Karpathos|Karpathos|Карпатос|Карпатос|Греция|Греция
AOL|AOL|Paso De Los Libres|Paso De Los Libres|||Аргентина|Аргентина
AON|AON|Arona|Arona|Арона|Арона|Соломоновы острова|Соломоновы острова
AOO|AOO|Martinsburg|Martinsburg|||США|США
AOR|AOR|Alor Setar|Alor Setar|Алор-Сетар|Алор-Сетар|Малайзия|Малайзия
AOS|AOS|Amook|Amook|||США|США
